_id,contentId,collectionId,contentType,language,contentIndex,tags,createdAt,text,multilingual,mech1_type,mech1_question,mech1_option1,mech1_option2,mech1_option3,mech1_correct,mech2_type,mech2_question,mech2_option1,mech2_option2,mech2_option3,mech2_correct,mech3_type,mech3_question,mech3_option1,mech3_option2,mech3_option3,mech3_correct
65e856d775372f314360a727,4071c113-1183-4268-836a-5a9a3209f400,919aba0b-7443-4d6c-a1dc-e7b42a803496,char,hi,9,,2024-02-29T12:55:30.791Z,क,,,,,,,,,,,,,,,,,,,
65e856d775372f314360a729,65a48023-3fae-45da-89f0-75fb3df5c37f,919aba0b-7443-4d6c-a1dc-e7b42a803496,char,hi,10,,2024-02-29T12:55:30.791Z,ज,,,,,,,,,,,,,,,,,,,
65e86e29dee499a6209e7043,c3b21621-ce7a-4d4c-9a0d-abed2a35f2cb,ab289254-45b1-40ed-9b84-3e414577120f,sentence,hi,1,,2024-03-06T12:14:19.153Z,राजू के पास एक गाय है।,,,,,,,,,,,,,,,,,,,
65e86e2adee499a6209e7045,3570a73a-55e6-48c9-884c-1c433f8c576d,ab289254-45b1-40ed-9b84-3e414577120f,sentence,hi,2,,2024-03-06T12:14:19.153Z,वह हरी घास खाती है।,,,,,,,,,,,,,,,,,,,
65e86e2adee499a6209e7047,225892ab-2670-4d86-bbca-3d8da3817a9b,ab289254-45b1-40ed-9b84-3e414577120f,sentence,hi,3,,2024-03-06T12:14:19.153Z,वह बहुत दूध देती है।,,,,,,,,,,,,,,,,,,,
65e86e2adee499a6209e7049,b555acf5-d0cd-462a-bbd5-d46c00fb9fd7,ab289254-45b1-40ed-9b84-3e414577120f,sentence,hi,4,,2024-03-06T12:14:19.153Z,दूध से दही बनता है।,,,,,,,,,,,,,,,,,,,
65e86e55dee499a6209e704b,9931f328-f4bf-4984-9d47-15bb342fafbd,a8492aad-b904-406a-bae1-e3f6ebda48ca,sentence,hi,1,,2024-03-06T12:14:19.153Z,रीना को माला पसंद है।,,,,,,,,,,,,,,,,,,,
65e86e55dee499a6209e704d,30f1e9e7-adaf-405f-8156-824a285a7c59,a8492aad-b904-406a-bae1-e3f6ebda48ca,sentence,hi,2,,2024-03-06T12:14:19.153Z,माला मोती से बनी हुई है।,,,,,,,,,,,,,,,,,,,
65e86e55dee499a6209e704f,8eb8f0ab-38a1-4b66-b11a-94a292734f86,a8492aad-b904-406a-bae1-e3f6ebda48ca,sentence,hi,3,,2024-03-06T12:14:19.153Z,मोती बहुत रंगीन हैं।,,,,,,,,,,,,,,,,,,,
65e86e56dee499a6209e7051,ed8c2223-a75c-4b85-bc8a-408f61505b75,a8492aad-b904-406a-bae1-e3f6ebda48ca,sentence,hi,4,,2024-03-06T12:14:19.153Z,वह रोज़ उसे पहनती है।,,,,,,,,,,,,,,,,,,,
